Date,portfolio,SP500
2015-03-01,69.86807352021768,2067.889892578125
2015-04-01,68.81833087203586,2085.510009765625
2015-05-01,71.54489201752608,2107.389892578125
2015-06-01,70.94959779728786,2063.110107421875
2015-07-01,74.31107292779683,2103.840087890625
2015-08-01,70.23668840923108,1972.1800537109375
2015-09-01,65.74000092183269,1920.030029296875
2015-10-01,71.99041123038185,2079.360107421875
2015-11-01,72.93318754472159,2080.409912109375
2015-12-01,71.38171012210547,2043.93994140625
2016-01-01,65.61249076740062,1940.239990234375
2016-02-01,66.15538921600759,1932.22998046875
2016-03-01,68.24020364891798,2059.739990234375
2016-04-01,66.00355075033669,2065.300048828125
2016-05-01,68.11103765586071,2096.949951171875
2016-06-01,67.9845661333868,2098.860107421875
2016-07-01,71.87897486804815,2173.60009765625
2016-08-01,71.01191071875215,2170.949951171875
2016-09-01,71.37228292541661,2168.27001953125
2016-10-01,68.14175378815673,2126.14990234375
2016-11-01,69.57103428799483,2198.81005859375
2016-12-01,71.48059646162757,2238.830078125
2017-01-01,73.8488569847334,2278.8701171875
2017-02-01,77.36119756154899,2363.639892578125
2017-03-01,77.0289757149456,2362.719970703125
2017-04-01,78.70624099007756,2384.199951171875
2017-05-01,78.66397958099081,2411.800048828125
2017-06-01,80.61888522984674,2423.409912109375
2017-07-01,82.63030594561357,2470.300048828125
2017-08-01,81.61294023747634,2471.64990234375
2017-09-01,81.74441484344251,2519.360107421875
2017-10-01,81.4777328821164,2575.260009765625
2017-11-01,82.95120174593686,2584.840087890625
2017-12-01,83.34108501562412,2673.610107421875
2018-01-01,89.15816858310431,2823.81005859375
2018-02-01,85.72646322788722,2713.830078125
2018-03-01,87.61107922509726,2640.8701171875
2018-04-01,87.1481637587582,2648.050048828125
2018-05-01,87.95991235669254,2705.27001953125
2018-06-01,90.08513221686813,2718.3701171875
2018-07-01,92.97700588742808,2816.2900390625
2018-08-01,97.3227155599289,2901.52001953125
2018-09-01,97.85860705491845,2913.97998046875
2018-10-01,87.45710134063086,2711.739990234375
2018-11-01,88.74834147083706,2760.169921875
2018-12-01,80.37840958874725,2506.85009765625
2019-01-01,88.88877415808898,2704.10009765625
2019-02-01,91.11667264965156,2784.489990234375
2019-03-01,93.07630001199216,2834.39990234375
2019-04-01,96.69008224764188,2945.830078125
2019-05-01,90.40834054626832,2752.06005859375
2019-06-01,98.9069260721272,2941.760009765625
2019-07-01,100.28147849655218,2980.3798828125
2019-08-01,98.6514444670002,2926.4599609375
2019-09-01,99.0947017319601,2976.739990234375
2019-10-01,102.16299496752616,3037.56005859375
2019-11-01,106.07762213410615,3140.97998046875
2019-12-01,106.86047491555973,3230.780029296875
2020-01-01,107.88996775097276,3225.52001953125
2020-02-01,101.55274052273826,2954.219970703125
