,return,std,skew,kurt,alpha,beta,RSQ,p_value,std_err
AAL,0.04754203317355962,0.1681474847212001,-0.08200972573160521,0.6943061595768407,0.010130589649391526,0.05012478668187288,0.047084245385147744,0.09878010210205194,0.029867890877117997
AAP,0.018903997542799696,0.06641826825126886,-0.5550633223858503,2.124739338052521,0.008642353316728144,0.20478581819246494,0.12262093977955837,0.006551041501404784,0.07255607185800209
ABC,0.02510522169191935,0.05288527689676975,-0.4094740331932937,-0.41174843022632457,0.002669826901345646,0.3921015771177801,0.28500766013241463,1.3347100420524992e-05,0.08225903103259508
ABM,0.009154896257439144,0.0636620483994559,0.06765319632164853,-0.7142073723314364,0.009157077204320432,0.36663951419338153,0.3611017088868089,4.851687640536264e-07,0.06459559937481238
ABMD,0.016097265543802423,0.14199330802153026,-0.26294558791422956,0.13257176725593212,0.010727030158093122,0.11098740700301468,0.164616344563595,0.00143203988006836,0.03311637466721217
ACN,0.017044030558926157,0.06323409084122225,-0.33835511333477053,0.2559443605668905,0.005095017932765469,0.4352612465827836,0.502102460887156,3.4132334386392774e-10,0.057409846889068236
ADBE,0.013973278357919033,0.07292261083927842,-0.26474715282063416,0.30207090234865763,0.007517235305770904,0.35756738589811565,0.4506402785803737,5.92293010612848e-09,0.052291834182143955
ADC,0.014888251533117921,0.06659735338749986,-0.5319969532153349,-0.26972641456819746,0.008368879182993245,0.2783902950877592,0.22783052598865436,0.00013210599104649675,0.0678839369606402
ADM,0.010530111578772301,0.06733206907140087,-0.31485448355174017,-0.1684274252011262,0.009586590509161892,0.27796793885617077,0.23217909997142436,0.000111531933600523,0.06695386957568762
ADSK,0.01720251048871994,0.09907677035608288,-0.25088816432263933,-0.504625569317084,0.007634779174640295,0.28361236862477696,0.5233398501519338,9.66465328226281e-11,0.03585091619540832
ADTN,0.0019197407602568812,0.10291989846939317,-0.38355156255804773,0.5718615529116966,0.012199440379816715,0.16365935824583422,0.18804863060454077,0.0006012654489524058,0.04504362536616751
AEIS,0.013184490555775967,0.1436831599850365,0.23750115235579577,-0.1460848112835449,0.010938306045501348,0.11948265035141996,0.19534901501948576,0.00045721724271788203,0.032119263657458555
AEP,0.014192757708279052,0.04154415499269707,-0.5760148161257598,0.7987694118811337,0.007482275919520224,0.3545010846048312,0.14376222492505566,0.0030613287672615146,0.11459216894929376
AES,0.0036953869701522855,0.06733479972152262,-0.16692464895755793,-0.7179983804468266,0.01113652013304436,0.37265482579152337,0.4173327180850382,3.2854620858397095e-08,0.05832280741228195
AFG,0.018880809744705285,0.039408800614986,0.6693914035987237,1.1425002715445487,-0.0015458312351097157,0.7446425945630384,0.5707842410158067,4.674587112768399e-12,0.08552878242057087
AFL,0.015644316898285528,0.07971239587924346,-0.01288470586714351,1.1370334393767383,0.006587919524798684,0.37877680657884427,0.6042383297179845,4.504600737013729e-13,0.040603052059338535
