,return,std,skew,kurt,alpha,beta,RSQ,p_value,std_err
AA,0.016592974191150616,0.11094747693277189,0.1142864450858932,0.7404938058462167,0.007626435765817462,0.07285200485343933,0.08126101870494079,0.02864132384592273,0.032445839875565645
AAN,0.0062117305719932335,0.10184333076769783,-1.1658979704455907,3.1822769492938443,0.008839327443225123,-0.0006536408902326101,5.5119846626062845e-06,0.9859199290291569,0.03687623618084317
AAPL,0.021791900153601385,0.06467026251188418,-0.4509189384862471,-0.32404779324085053,0.0038967501499245927,0.22662168133068541,0.2671631456601297,2.773999580742833e-05,0.049714079928923655
AAWW,0.00750832306400133,0.0990396239815726,-0.23802740042870066,-0.4122069952288512,0.008088499013461389,0.09945871831796275,0.12068910547398626,0.007020095772257867,0.03555843375762702
ABBV,0.017731031901770444,0.06930350898106738,-0.701147820652441,0.8329665804309951,0.004118506501284514,0.2660172700026938,0.4227605938190093,2.5012207354827616e-08,0.04117211151268305
ACC,0.0029043365879680887,0.05373528195369797,-0.2355437118722643,-0.11792475322675244,0.008712363007507315,0.04231747626153457,0.0064316583785389795,0.5459744739313019,0.06966581459662878
ACCO,0.012064228645724621,0.08963375933269362,-0.20879280360241434,-0.04431782351922742,0.007370082242329265,0.12144870615612333,0.14739861203446206,0.0026834787768132565,0.038688490496026434
ACGL,0.007163198718462401,0.03980268156804136,-0.16957997297142555,0.17635241619991282,0.0064966763553986045,0.326472982062899,0.21003106892956971,0.0002621187428426557,0.08386351333611462
ACIW,0.007523297809992055,0.0588269758449254,-0.2792906252533114,1.0930872174696855,0.00671734116103077,0.28151564574254534,0.3411320349715401,1.1971594013944249e-06,0.0518206734045613
ACN,0.015113928765972602,0.04272817650113085,0.07665508793678345,0.1594872006714141,0.002506165813848481,0.41875950894548186,0.3982194494841033,8.423937760854907e-08,0.0681844110903295
ADBE,0.028805874390912367,0.05599364833833229,0.31172854863750604,-0.4592109322236504,0.0011864671090159847,0.2655291760739333,0.27495803322987344,2.0190733237757635e-05,0.05711144995556373
ADS,0.002814267873722176,0.08439020160824606,-0.755302692346025,2.431778875369991,0.00825873703824497,0.2048597325302463,0.3717591252459877,2.964042389923449e-07,0.03527373511666238
ADUS,0.018047129152962003,0.12315864607067843,0.21492807999026198,1.074723392812107,0.009327016107213903,-0.02724804044575891,0.014007632794886251,0.37197200768104455,0.030279747530925622
AEE,0.01239553340546557,0.04405505476949346,-0.13348456045414092,-0.6744924708459163,0.007570323212320132,0.10204837084673382,0.025140159495293683,0.2303559601664947,0.08416968921778825
AEIS,0.022465479481496204,0.09466135263864973,-0.08997830915665832,-0.7370252341664205,0.00624067506683861,0.11549239968025597,0.14866769503616856,0.002562721295791978,0.036606417622945864
AEO,0.006283422786321015,0.09982758482420767,-0.1973247136937408,1.1743595169308874,0.008363581595697701,0.07506825856972672,0.06985189569037359,0.04309617131192756,0.036283223804377304
