,return,std,skew,kurt,alpha,beta,RSQ,p_value,std_err
AAL,0.03230976650531537,0.1347834291786432,0.8530485440519145,1.2771944555463115,0.009490918422878447,0.04811848847333532,0.041231114303286104,0.12296739778056333,0.030733992328370003
AAN,-0.00037972292084066997,0.08899012575227325,-1.7473549009927982,5.9234364232551755,0.011054627524437803,0.023733027169472714,0.004372381314242972,0.6187759692485081,0.04743568336488957
AAON,0.024542070378519215,0.0810766934538539,0.6847843741791573,0.6884345975378219,0.00637805289361987,0.190186181704788,0.2330655540862453,0.00010773838882297073,0.045696360049957765
AAP,0.017092133598727407,0.07185473706846374,-0.884454049321667,2.125196005006063,0.007562258073255111,0.2037988678631006,0.21020471786168482,0.0002603875449722793,0.052323932562479615
AAPL,0.012703522049340827,0.07393256475391949,-0.33176933117237256,-0.39163050292673596,0.008164943420672033,0.22676169003997304,0.2755110555927077,1.9738592791068707e-05,0.048705569208969346
AAT,0.017776052291996313,0.054225612116197495,0.09158410619476504,-0.24733033073388278,0.00709274548661146,0.2223705240341212,0.14252514163206076,0.0032014359569860038,0.07224449317041119
AAWW,0.0018548722101994091,0.11045983897743394,-0.0336055126113902,-0.5436095215128871,0.010843711306074496,0.10885075686395582,0.14170978323802838,0.0032972100284893945,0.03548225310822179
ABC,0.015514902422925657,0.054826423254173716,-0.6105918774793724,0.4356033168044058,0.007147446318089632,0.25125322259138694,0.1860078300342438,0.0006489045334188379,0.06961754647478907
ABM,0.013942609911703256,0.05491815065507451,-0.7698250654733109,0.3555168886951554,0.007455685750132776,0.25747903890608753,0.19599440907024843,0.0004462415835334226,0.06907360845980869
ABT,0.011904114601215826,0.054772522477698066,-0.8448055872251572,1.5154917897296318,0.006150794652077167,0.41118731312142454,0.4972021673569132,4.5329835078060685e-10,0.05476870477811141
ACC,0.007974980491852175,0.05270183035721289,-0.28018228940985773,0.06799703505975918,0.010212386957925576,0.10448032982229019,0.029719984808844167,0.1916689834185459,0.07907175146849879
ACCO,0.012546416980828128,0.11998898015378329,0.3540998974505464,0.44484643718631567,0.00938445366548885,0.13240129728592245,0.2473975080379728,6.12917746429198e-05,0.0305872179843753
ACLS,0.015144638406682025,0.26878364833963897,-0.5676739894753839,14.98447610079073,0.01051102303866256,0.03529912679474679,0.08823923401812196,0.022329879612820184,0.015029208856163125
ACN,0.015358628546730115,0.05560242016994489,-0.22666418010219438,0.4083426501589047,0.004889819498205025,0.4008037588190892,0.4868319560209581,8.19136691653464e-10,0.054504783769558696
ACOR,0.003180532072125973,0.10914108218873697,0.11217137040596332,-0.0012913172881243717,0.010711872316220455,0.10493314522594328,0.12856714743633121,0.005293249059339951,0.036184887173118185
ADBE,0.024455850816201358,0.058025799940160085,0.3892177335501424,0.145512705717612,0.0018608781581716718,0.3755640096473071,0.4655199769616396,2.667399687430374e-09,0.05330195234146219
ADM,0.011560736797263122,0.06739661986359478,-0.7564877580352056,1.2816167144698136,0.008458237590164275,0.22380735806465882,0.22302475401087557,0.00015914474640594162,0.05533042289766258
