,return,std,skew,kurt,alpha,beta,RSQ,p_value,std_err
AAL,0.024534498096028194,0.14151107602184154,0.5722863764375845,1.5827151983416847,0.009559228059886155,0.03879002530931587,0.030248348994333832,0.1916606595657918,0.029349822273046052
AAN,0.012338144413274927,0.07752851168386603,-0.6755638126336151,3.4919038571779453,0.00916113303818099,0.11315333434100777,0.0774394908332181,0.03441674285418738,0.052190268160460816
AAPL,0.018401078035840887,0.06749939932304538,-0.2589358119914406,0.06764218357468899,0.007054771640166581,0.1747757991919883,0.13555321967463338,0.00446171500761965,0.058979555478884976
AAWW,-0.003337295377733149,0.12097908288341136,-0.25183018384531974,0.9159921414827119,0.010583630299725538,0.09367647688207795,0.12474977452487097,0.006536316504102308,0.0331575754313958
ABC,0.021146777145208105,0.05020453053635469,-0.2325658167351499,-0.6521867175863103,0.0036063689134043187,0.30887404420515047,0.23209370562883272,0.00012872532280457558,0.07507750532196268
ABM,0.008757674329277982,0.05556740232665301,-0.050299007826185405,-0.8427745636904111,0.007441633614312731,0.32982792386822685,0.33526048158278265,1.9216400831022443e-06,0.06206231544425881
ABMD,0.03731371317849381,0.14490899955431763,-0.3647291109744825,0.2812168107512383,0.007971368509810126,0.07512437913919832,0.11616709896842897,0.008842046668596969,0.027690474163064138
ABT,0.013679353861839222,0.043330391077497914,-0.5912782869110713,0.3063899175060558,0.004385005012467601,0.39059068072074604,0.2485008223969218,6.822077716626126e-05,0.09076704632945762
ACAD,0.0626301399428799,0.22983434118488943,0.6626588712637456,0.7455928817272888,0.006031796564201996,0.065751788602636,0.22048978671677474,0.00020037003405879412,0.016520767671783013
ACCO,0.004727937349430427,0.1292570909825001,-0.06860919701778247,0.800946681507797,0.009740513128337082,0.13258224437953303,0.29364476100830306,1.1172600832756533e-05,0.027478423329837506
ACHC,0.044783249322079076,0.10305185586463107,-0.09398712464740851,-0.043546026057182274,0.008446760637697469,0.04459504813644753,0.02063083718365785,0.28207760528092657,0.04105890948104951
ACLS,0.00888486807993575,0.15123023500742047,-0.10378003558626081,-0.08338114914208283,0.009873202578044412,0.09200943149676148,0.19360555654137962,0.0005479339215467333,0.025093034766364947
ACM,0.0021246964698531804,0.09397076967460259,-0.7518766143506179,1.3488123013972695,0.009579783478012395,0.23390096960833398,0.47308792584945425,2.449734658031318e-09,0.03298649348432287
ACN,0.015593009251124154,0.05533703532757348,-0.4621539302888717,0.4021156419623835,0.0034762714549240537,0.40615268480467576,0.476103144646342,2.0799145732336823e-09,0.05693347414167939
ADM,0.0075826605169026715,0.0686800639589434,-0.32005804851620057,-0.3794410411163649,0.008375177368873594,0.2518571631926794,0.29704734776529024,9.709133326487684e-06,0.051773853590308436
ADP,0.014835349344291619,0.03891741943524778,0.20911631501726016,0.22597771049873572,0.0007139203240923257,0.6291108885856415,0.5884355980623258,2.188885310560312e-12,0.07030765634697171
ADSK,0.00644095447693781,0.08900456002771556,-0.025518729033774806,-0.22753815465260274,0.008503172248290402,0.25830593343265074,0.5233649373133133,1.4097222510160326e-10,0.0329405654913174
AEGN,-0.0046511032076910095,0.10452663585868087,-0.6335342869799006,1.305957161256278,0.01122488708747078,0.1942716997475984,0.41196623415582007,5.644448030707397e-08,0.031016004287434767
AEIS,0.01050316750210817,0.10957809795167749,-0.46183898698368026,0.21093052218830977,0.00926470848425399,0.10682435420095683,0.1363781776428281,0.004333146682799501,0.03592242319750739
AEL,0.015442507225082275,0.0868778537150676,-0.5023502361296205,0.022614668671039784,0.005036868166342375,0.28839225182743383,0.5655294842465787,1.0162216518072921e-11,0.03377863559328652
AEO,0.0047053097083864254,0.09243928541438316,-0.4429168199487217,1.7926234502522442,0.010102579418871268,0.08239639562794386,0.05819522571020868,0.06811323818151463,0.0442946185533628
AEP,0.010367731848231523,0.04370535046136184,-0.5870750635604044,0.3427104819642066,0.009103443264354399,0.12818594893182497,0.03081663012542263,0.18747600232078254,0.09606314770251245
AER,0.021491235529576908,0.10767115490467447,2.4863519382889083,12.40831980195307,0.007415081535430214,0.13197399213639388,0.1980345425027649,0.0004650573804569228,0.03548964843210439
AES,0.0018632636581559225,0.059905126739365544,-0.08385172141994625,-0.2845180105309182,0.009580273281104891,0.33621005430984624,0.4013743089892593,9.417463253318302e-08,0.05486805604111225
AFG,0.01599595245095543,0.03606989584719737,0.5370932148782737,1.8773776012906627,0.0003445314799769752,0.6305022321359149,0.519682100015016,1.7545692985962213e-10,0.08100057870901435
AFL,0.006289059342213733,0.06950252054124689,0.0030123960838638938,2.5729619545767966,0.00782852653458162,0.34268469094276033,0.5520756007577182,2.414109359721981e-11,0.041248083309154374
AGEN,0.0030473410099548844,0.18302979925832763,1.0820327719055014,3.6102970354177533,0.010294732200090414,0.040185782118010195,0.05345258056371808,0.08078199356469978,0.022597753201984042
AGN,0.03357747974923006,0.05760840922067462,0.09814900558403718,-0.4699882431731677,0.005116121514262692,0.15233536711930343,0.07160718046399081,0.042277349938891,0.07329837213230131
AGO,0.008097772516379219,0.11236725470519451,-0.09512420660706247,0.20857254269715764,0.009195451945520681,0.17583108930450156,0.39252349647807444,1.435079781601789e-07,0.029230319745631672
AGX,0.026561155945028964,0.0945563433401045,0.21249245784436444,-0.052023930547964614,0.007674065438416913,0.10677445479415834,0.1025019624313952,0.014283663708984436,0.04222056227609625
AHT,0.009971885197615462,0.09583840432477332,-0.3210034980836774,0.8717796771319408,0.008251010860294398,0.18754023020808697,0.3143656969713862,4.706708904891158e-06,0.037010855585286634
AIR,0.005530272446859473,0.10781146798301243,-0.9392795945734331,0.922742380133907,0.00937549274332812,0.15942795581207783,0.29234353681325953,1.1787008361815959e-05,0.03314629219329626
AIT,0.007256436822418118,0.06274552337591863,0.3671575308815109,0.7877658768708597,0.008668750995820287,0.3236851957634492,0.4019160893524072,9.175992003242369e-08,0.05276454371558795
AIZ,0.011732417566940455,0.05635874704398117,-0.8360189517046905,1.5250080173329934,0.007143063388243758,0.28377655947634767,0.2570835141369527,4.8717589878241645e-05,0.06446372383213807
ALGN,0.01799153093295326,0.10340939851109675,0.09849691572481668,4.367385711420173,0.006750163656539405,0.18917726833724013,0.3759779282585656,3.1063863816658784e-07,0.03256819853744661
ALGT,0.027780421830456797,0.07896071628059124,-0.5977145982073795,0.8645598703547712,0.011520568328540525,-0.033544789558474425,0.006953441209302121,0.5337317261213186,0.053569299832101146
ALK,0.030662244603180594,0.07638102872888482,0.2621941046463455,-0.3558839860520875,0.006098899054758017,0.14166024715658024,0.11717888746140905,0.00853303618787379,0.05195958238521848
ALL,0.012264200711959387,0.052449899962731285,-0.8210025080740657,1.1320789065002002,0.0031527576657809503,0.48090050520153327,0.5074234119678271,3.5932754199305254e-10,0.063315909879828
ALXN,0.028428023414037776,0.0804415273949476,-0.41806378956049656,1.408720328673156,0.007768559258136742,0.08880903865478391,0.047557378692389705,0.10006738924078691,0.053109671088869166
AMAG,0.021869759485435528,0.12396912478130216,0.7677992989264111,0.5373931312658633,0.009722169646019829,0.03643627130633267,0.020488303476192345,0.2837637081824591,0.033666016170673205
AMAT,0.007384470836062255,0.08231030585132044,0.05363057923668305,-0.9657276827109587,0.008006235914733258,0.2879331200062442,0.5550778232391232,1.9946628325369062e-11,0.034447895746322565
AMGN,0.018478658847161364,0.05560410174751631,-0.1795740218709152,0.9100022428537726,0.006710119908653301,0.17919622789209685,0.08355606012069049,0.027756443541671456,0.07930468144404137
AMKR,-0.00332398114226382,0.13873465588581696,0.3769134355652093,0.44689870596922,0.0113775180912515,0.12094158897028913,0.2723735313113169,2.6521992449528004e-05,0.026415172457718922
AMN,0.0318215757298501,0.12157707100068835,-0.6112757533439462,2.1654765504492817,0.006850509640481645,0.12284192463005748,0.221761028205001,0.00019093732420990747,0.030751511912665574
AMP,0.016488606865000695,0.0641886109622374,-0.6463968567824294,0.7311672781972383,0.002186113021663669,0.4503382683355578,0.7890144076481094,1.4271271837623083e-20,0.031119225018113254
AMPE,-0.0003424184383345412,0.308416465366596,-0.7677860497224722,3.9940933971224286,0.010557846715332426,0.005949874863943627,0.0033833231651800417,0.6645019319026497,0.013646024676072628
AMWD,0.0226792713486363,0.12302689712770887,-0.01647259683823266,0.8178502561420746,0.00775980976412235,0.12149672912177972,0.22478322708161316,0.0001702143690355348,0.030150894575267886
AMZN,0.020058195650599065,0.0742457711481177,0.09607796388299704,-0.5536902389552565,0.007677381556640093,0.13552511746574653,0.1005442181384183,0.015298302961650837,0.0541672936017958
AN,0.016023206850559153,0.07277942840780563,-0.1580384503748132,1.0722188974020748,0.007587630544422556,0.1739853409422642,0.1596239231925428,0.0018899921448886129,0.053346569274274225
ANDE,0.0067163394260625515,0.09782182481869514,-0.17654572109745476,-0.09687824503946096,0.009416581331767917,0.14589326638340425,0.20363557740324575,0.0003775938377515162,0.03855407882430155
AOBC,0.02754314952453177,0.141388083190876,0.27412989435638435,-0.014679515376440744,0.008616529382337978,0.07380575801650421,0.10895388345691776,0.01139120465403598,0.02820492603220195
