,return,std,skew,kurt,alpha,beta,RSQ,p_value,std_err
AAN,0.011745855416050624,0.09298795127554385,0.8596553833506521,1.9564993288010646,0.011692712898608069,0.2246558580672736,0.26107532514310317,4.160928460021903e-05,0.05050575933330023
AAPL,0.027869598305724008,0.07463482051210418,-0.16481603363191255,-0.13782375313065875,0.006028155383151565,0.284907326865809,0.278455346808824,2.0760724301766057e-05,0.06128630386646114
AAWW,0.009354725371325947,0.1481919872717434,0.08403747346843499,0.5372751527291899,0.011969247658466568,0.15420394026813874,0.3147777466180395,4.625400666066951e-06,0.030402911541529482
ABG,0.04182619590641749,0.1496496006190294,2.0694302144156516,10.103391889156084,0.007137987266953944,0.16315197258897152,0.3672994373253219,4.6223490435048183e-07,0.0286145746317496
ABM,0.011422506440252085,0.06566587370305692,0.019071747562388667,-0.8610425325008388,0.0102492315548036,0.3395802190916727,0.30407150311448183,7.252339817839956e-06,0.06865036021830939
ABT,0.01429018578531875,0.04936565565490325,-0.5042725597312991,0.05396283243421207,0.010503070158063997,0.2575832654659896,0.0959071788563244,0.01799803286710362,0.10568286624585432
ACM,0.003435430938576393,0.09661545073552315,-0.6781298209264894,1.25816935373686,0.013425957247989737,0.2658508032144253,0.3985524156854834,1.07779471367799e-07,0.04364154658089638
ACN,0.02056332333564657,0.06415381342242313,-0.41048011552602615,0.220239318874365,0.005198298911653389,0.4291193963173859,0.4664878601277909,3.494111333089365e-09,0.06132479592808525
ACOR,0.01042294388808834,0.11428121854015941,-0.25299423262521836,-0.529640963507469,0.012864580291094998,0.14685946120963167,0.16330544416882872,0.0016553363229898884,0.04442127881670491
ADBE,0.019759427497331002,0.07771560847144034,0.040254920325556484,0.8794912556314962,0.00735720080282027,0.37055268779856804,0.4870850704481096,1.137123048371841e-09,0.050813161331047144
ADC,0.017786402279815,0.06732999475884058,-0.6201446767787357,-0.26936485104949837,0.009051347150278766,0.2854966611285759,0.22526363196420268,0.00016712865292389854,0.07075195597856825
ADM,0.00817645968839674,0.07034038386425139,-0.250501833409852,-0.38612642263059893,0.012023061013087949,0.23444253135897475,0.1674985171966205,0.0014227375602521306,0.06984404973996876
ADP,0.016015991771329834,0.04179123576161643,-0.19836127838472314,-0.40536508022402495,0.001505489775843815,0.7707779761752763,0.6399693810981598,4.968364660347916e-14,0.07725478778543202
AEGN,0.00664683062687235,0.10845369629571773,-0.5811184822243936,0.9601662479763173,0.012802027853310867,0.22594441142871552,0.3631898746588634,5.569699158240755e-07,0.03998026829569363
AEIS,0.021917063604208184,0.14200017662193293,0.10681598233600988,-0.08098943142393455,0.010924200233229469,0.1322006586071652,0.21730556328881281,0.00022603291275256188,0.03352743322705009
AEM,-0.008603050812527605,0.12835484232395736,-0.027387472104302646,-0.0596427434061817,0.013744962427986892,-0.012338953138896692,0.0015442442463949337,0.7696182035273442,0.041926703561738055
AEO,0.005215476992841021,0.09942706575164237,-0.5976658073267648,0.9710742505912981,0.013136767591572056,0.17742446695376518,0.1904540271416098,0.0006155118669709875,0.04888157309937731
AES,0.014820140438723359,0.08598668720012348,0.9005371202064474,2.2645950732500477,0.009319932779195982,0.29246834909948577,0.38854093852784627,1.7313210594050206e-07,0.049028675428255904
AFG,0.02359527015441272,0.04702449096092811,1.2260278041819237,2.859351001133146,-0.0005115962494784167,0.6182276047656514,0.5195945411085061,1.7636864910313453e-10,0.07943758937708612
AFL,0.0245396006312944,0.0985011922223995,0.8410082874158157,2.7948059390610656,0.006091970072009279,0.3156517795958117,0.596237257680401,1.272907664542191e-12,0.03471105342322416
AG,0.03186457981965445,0.17487853742029724,0.1771582980652802,0.5729470705378459,0.01219215421735585,0.05295014151097461,0.052872130348377386,0.08249388745077059,0.029947737301408064
AGCO,0.016813166919937183,0.09804290674422154,0.1628764105006478,0.12720720931647467,0.008157950620109409,0.3280768089924195,0.636881143930869,6.325164628027039e-14,0.0331037142085384
AGEN,0.008623435175928734,0.25369205292194685,1.2967747940913343,5.138739337139979,0.013822538000465814,0.04360297715065626,0.07129863554614592,0.042740884789064626,0.021029045574892262
AHT,0.04398790301297762,0.1504668840916945,0.783025798055695,4.478290212897977,0.007281343197564457,0.15754732653561074,0.34210833537819524,1.4247874923818842e-06,0.029195262774535158
AIG,0.018689607229837885,0.22402043477247557,2.3725489973021285,13.844376407526898,0.012800656589991289,0.057654348630856896,0.10287758516683913,0.014096807531273847,0.022751159206060245
AIN,0.025725705030738403,0.12018814814084683,-0.27828256403396834,1.01255739161064,0.00775307348328282,0.24012428027344604,0.5135408938991103,2.5181608226557907e-10,0.03123041210145572
AINV,0.02601935239008445,0.10387168152786946,1.052721721388346,3.0562896475753476,0.007326429436739611,0.2491374262913318,0.412956922256782,5.378174441970219e-08,0.039694247257549116
AIR,0.014906042244486852,0.12344875325838976,-0.5759911275891646,0.20893943507793455,0.010986375463887752,0.20944454954742608,0.4100834634885246,6.186055000176114e-08,0.03356867553682217
AIT,0.020618094982203215,0.07992088497829636,0.8636676019190135,1.34642991373455,0.006875591443054617,0.33566981732948303,0.44374567384786345,1.1509424011670405e-08,0.05022129573096261
AIZ,0.020305081117117547,0.06336014803012356,-0.5669870614228705,0.8931626433588389,0.006543375656086679,0.3554934041479142,0.31256485880108825,5.078610663943351e-06,0.07045037734752353
AJG,0.020736039996274658,0.05955489553246904,1.7092226056911375,6.699100061783128,0.004524737510002749,0.4423274851115256,0.42704342881848417,2.6824944818743323e-08,0.0684659664996941
