,return,std,skew,kurt,alpha,beta,RSQ,p_value,std_err
AA,0.007102524550724425,0.09960673037050657,0.1412554143083317,1.7907403093010261,0.008091134806079007,0.09622221167659535,0.10572219155114627,0.011978763329841609,0.03706730874927758
AAN,0.0011295508404572667,0.09308694457141252,-1.501021970259791,4.787328811342927,0.008758928630797753,0.013834522076888517,0.0019087277645638183,0.7424895792787269,0.041902493409240196
AAP,0.009844302942503342,0.07409474714408443,-0.4308206602110778,1.78154082432434,0.007182108167103031,0.16176333347671726,0.1653381731506699,0.0013945960587958342,0.048140585554041264
AAPL,0.009542658947940243,0.06971781964703737,-0.48077948701020395,-0.33645250146649763,0.006797892398697826,0.20713964932864531,0.24002262704106167,8.202190503494967e-05,0.048820255448738636
AAT,0.013447372271846954,0.05285531243398455,0.02759915917836628,-0.19143327478038996,0.006372600410748969,0.17861891286498588,0.10258179414374745,0.013397052237719413,0.06997651448216649
AAWW,0.00244609079799646,0.10558395960417846,-0.14670890846797288,-0.34426001070240364,0.00853277481952642,0.09884367641162115,0.12535215038894176,0.005940344205645615,0.03458296176396204
ABC,0.015350702039572785,0.05857224144875371,-0.6480047565512156,0.47722674688845945,0.005378399911761006,0.2212377978753692,0.19325932586493016,0.0004945932799990697,0.059871294165917285
ABEO,-0.039793926557889825,0.2856986854413742,1.0337530681807854,2.541569216554131,0.009567714223055537,0.019931654521819307,0.03731997157607656,0.1426557198848723,0.013408378220751147
ABT,0.009613651051539697,0.05583548980166019,-0.7097591488539216,1.187172478225568,0.005004606398741561,0.3921453990668489,0.5517635746601103,1.634487231831018e-11,0.04681518627694657
ACCO,0.001300881326809765,0.10398191302778023,-0.21279889754505715,-0.6108437163566736,0.00861750884142305,0.1207232221551777,0.18135743365774504,0.000771657087987341,0.033972919582346314
ACN,0.012972009383828335,0.05219466280865099,-0.2827672340709586,0.6259085598206218,0.003945138510443308,0.3722952068177157,0.43457546203951447,1.3697073190344806e-08,0.05624769663670791
ACOR,-6.395816620467294e-05,0.11962216687657888,0.27231925006201996,-0.3849773791463198,0.008780639529281806,0.09512628028308469,0.14902614878456247,0.0025295914093712694,0.030108557953705616
ADBE,0.020985167956040298,0.053060084686302536,0.18028616925924582,-0.51149135173902,0.002085368055036673,0.3187578667853817,0.3292272841340464,2.026901829337998e-06,0.06026473743375936
ADM,0.00867022717260105,0.06459693025232759,-0.9201273664413888,1.4566702260582325,0.007175901072422207,0.18438436762842358,0.16327138429480323,0.0015044535944650197,0.05528711699893946
ADSK,0.012077455137521129,0.08978939454627562,-0.35832008961493866,0.5364603691577319,0.006090244423088986,0.22225799832687188,0.4583560857682714,3.9266975487194886e-09,0.032001873476365655
AEE,0.012392306297213423,0.043766638960289456,-0.2855389150186918,-0.3810904688303616,0.006672038040302386,0.16966312291743632,0.06345990599661565,0.05426168440270272,0.08633035044191877
AEGN,0.00413766426643227,0.08935526157901233,0.22397249611917094,0.41311789325852155,0.008023895785842271,0.18142110926801158,0.30245029707902105,6.427610280535243e-06,0.03649311717032222
AEO,0.0012541851948939817,0.08668949905022126,-0.3736943713062549,2.5939916674267387,0.008660164155292832,0.09120763983652697,0.07195045429071943,0.039967556062776875,0.04338729762057063
AEP,0.012526978532060654,0.047725435104768885,-0.6013865332879809,0.1399994427629978,0.0074108360070955625,0.10886259733352767,0.03106671225981418,0.1817539412472446,0.0805268210276891
AES,-0.00020845072824161412,0.06468828663014115,-0.08413105936274715,1.246194436973477,0.008824033230374721,0.2373597058406223,0.2713334926476604,2.341301240855081e-05,0.05152076092733786
AFL,0.011799918878644105,0.13381117530716466,-0.33476203904806995,19.950171055778934,0.00815160018425685,0.052793180104621154,0.057435252631157244,0.06752061201348984,0.028327400588781936
AGN,0.022030903502677647,0.07361882437422812,-0.5530641155521581,0.4035029989385439,0.004904446187943331,0.1756672956432913,0.19248536062685034,0.0005091799051610959,0.04765734425921849
AGO,0.017062466911936993,0.08533695906488611,-0.1493154093860401,0.3325822987037683,0.005120834759818887,0.21413789025208177,0.3843257500107171,1.6411432900657087e-07,0.035898958171479874
AGX,0.02681342604741384,0.10092417810084624,-0.14557357800267293,-0.7229403561400098,0.006433704651008446,0.08730144263136254,0.08934523627863264,0.021466862919548083,0.0369168956153942
AI,0.005869427962296378,0.06788330942947944,-0.2116849422520972,0.002753205243341661,0.0075442393027029455,0.209614315404721,0.23302687438105893,0.00010790126510034127,0.0503698409593465
AIG,0.01319168977096552,0.0601254335401604,-0.672895082819849,0.2489852742592933,0.0048204391446079395,0.29974297083092183,0.37381142856426086,2.6933025086840025e-07,0.05138517744730341
AIMC,0.013291994967798997,0.07593069367536764,0.0037131433611865762,-0.6968337632487436,0.005663956583678202,0.23402046500126727,0.36339632345353434,4.3661333613774023e-07,0.04102614557974214
AINV,0.006586601599250454,0.06588491836521072,-0.6844464097298516,1.1321052984617888,0.00766145772933551,0.16899423484611334,0.14267698417981023,0.003183904973275077,0.05486934076585817
AIR,0.011861631466510585,0.10283178258347392,-0.5947929574351851,0.3375206339377681,0.0070977937964687935,0.14136011855555464,0.24319052398812466,7.239427314623427e-05,0.03303006507060141
AIT,0.009052739330289418,0.058957936154357335,0.2322444192007388,-0.20833693593331892,0.006761788320689828,0.2223379059874964,0.19776511468186242,0.00041743250562530185,0.05931328972913209
AIZ,0.016790059431495342,0.06047417774545305,-1.1350733373530182,1.6563768016704614,0.004833896887507095,0.23470188151555416,0.23185219126970788,0.00011296347395644307,0.0565842988660655
AJG,0.010729488052898223,0.044647572683981805,-0.3314033776495834,-0.4881888558859364,0.0033624124387427717,0.5044176349711617,0.5837331364453056,1.931895283901685e-12,0.05641980495059886
AKR,0.008618411512344971,0.05220033870924885,-0.05715141460165274,0.13159857031820632,0.0071174855348575174,0.19227091786066733,0.11593430407389792,0.008320981270683996,0.07032544056760255
ALB,0.00926699925874079,0.07594650752321189,-0.26995610497957273,1.2036186382811982,0.006699396332208446,0.22392999467127997,0.3328727717089466,1.726640268168895e-06,0.04198943578350116
ALE,0.011354563971696294,0.054063184678742306,0.01655947583018746,0.5381728479276129,0.0069217175786406935,0.16318000874493574,0.08957261892972163,0.02129363141995176,0.06890719054220272
ALK,0.02980399872524874,0.08317710034979374,-0.030747872780756802,-0.5054418774375615,0.005609523395564288,0.10619487876274308,0.08979513708219429,0.021125465238335247,0.04478260083402004
ALL,0.01723336985568342,0.043328659192008435,-1.2965920212684805,4.037755084881752,0.000990966922394785,0.4516579502223868,0.4407658481532334,9.942944756173302e-09,0.06738529062243317
ALSN,0.008405156756285925,0.06138179317377684,0.04634257380792083,-0.13603128332885683,0.0064341723652194625,0.2784460932114412,0.33620140110784363,1.4904575299209456e-06,0.05182294711048488
ALXN,0.005864591734010529,0.09299891878839954,-0.7778189488944891,1.5780096951510973,0.007962412469906881,0.13848243727185397,0.19089005985935026,0.000540583271985865,0.03776325157912493
AMAG,0.005815025509994374,0.16198068656147482,-0.4153871063740738,0.9210979643612114,0.008549794054925347,0.03865182904621482,0.04511330962526625,0.10630047325790175,0.02355354046352303
AMAT,0.01991144895931957,0.07973816275765559,-0.09375525418347035,-0.9910342075154186,0.003732172597862712,0.2532403763923079,0.4692847795011204,2.1725126906577845e-09,0.0356704065854177
AMCX,0.004962145617694875,0.07609504659767234,0.2943521591640534,-0.45244652983559375,0.00800837096373941,0.1544058804653827,0.15888341480888712,0.0017665631395712045,0.0470560234870497
AME,0.009249752510288249,0.052543878311361265,-0.3247908204448949,-0.4259802391050047,0.005471082658823609,0.35714174669420123,0.4052878698110542,5.966779557943279e-08,0.05730266047763377
AMG,0.006894002463939733,0.06841497065500994,-0.7755601073206081,0.9913517519485682,0.0066853238545288,0.30305059843484433,0.49473279534097625,5.224403545384954e-10,0.04056513477186845
AMGN,0.017823362783205385,0.0642950098207132,-0.31727106974093566,0.7527607047691309,0.0040946772125126756,0.26256987927856756,0.32800650847809487,2.1383228307418805e-06,0.04977929933102438
AMKR,0.0079316778636665,0.1517075796472718,0.4485094926032507,0.1549251222917687,0.008085447725473116,0.08688044487038256,0.1999386473890888,0.00038454279657750283,0.023019605647905426
AMN,0.032466341924783204,0.100999623351365,0.36477559605835425,0.4417412067572992,0.006994293931181618,0.05483406476097159,0.03530030908329761,0.15415421534695248,0.03796818425665749
AMP,0.01615254393235853,0.07148438477720707,0.13500957334193736,1.4236082702806012,0.0037074192624238726,0.3137051467330863,0.5787670175110956,2.719734983856206e-12,0.035448145016429566
AMT,0.011558302432763241,0.049701714198085056,0.10747036363918287,0.8658335907437005,0.006031353966795185,0.23733601677231983,0.160143070907492,0.0016870512945490039,0.07199043538897586
ANF,-0.02187374300818649,0.12600992519317822,-0.11471357973729819,2.454274590129028,0.01047896138189715,0.07792017828966123,0.11095515922491093,0.009939731855354416,0.02921464358064763
ANGO,0.00489325396077728,0.08374386818440935,0.5286847008201067,-0.09317307074312353,0.008134231941960038,0.1308584205948869,0.13821255695220144,0.0037410091494129247,0.04328033129902269
ANH,0.006250929728911791,0.057153613605822585,-0.09978183909850527,-0.020256978004590476,0.008388117884660203,0.061820810493113255,0.01436795291663654,0.3658480907286976,0.06781991271678056
ANIK,0.022317728682674138,0.11700956577717758,-0.23486573276669728,0.044693881046422135,0.006380626399529776,0.10726580026782584,0.18130233946068097,0.0007732394642939248,0.030191446432896264
AOBC,0.015587118358327405,0.12477691670019504,0.08801542986014826,-0.4403459204211857,0.008358050617915006,0.026721091053979455,0.012794254689509432,0.393670378302023,0.03108945438414558
APD,0.011010929211398525,0.05734656334667444,-0.040650188117853044,1.5104158921250503,0.00533439333651923,0.3124315872230419,0.3694560494126166,3.299257516196365e-07,0.054062210353179055
APOG,0.026260008065507583,0.08443823455923333,0.06432172560774667,-0.5881237070637604,0.004076770678050297,0.1788950230734031,0.26261100654504793,3.334953264077196e-05,0.039705685102622804
APTV,0.01609243623953112,0.07116599313820027,-1.347259811771374,3.5208201199781106,0.005327521559820376,0.21420211431684924,0.26744264190922884,2.7427213502899022e-05,0.04695607807368128
ARC,-0.004970566173617298,0.1474902653184911,0.5916007052027826,0.8670642790143268,0.009197555332652527,0.08510095048340613,0.18131496625179322,0.0007728765266352181,0.023951823445458903
ARCB,0.008300445412122796,0.15051535646773473,0.774801066239183,3.874215293782603,0.008249465162724727,0.06326049242434706,0.10434337445301475,0.012582054149341677,0.024548981180796205
ARCC,0.009514050063314496,0.041764073970516076,-0.28221127550545194,-0.30076550353644604,0.005703418554013824,0.32280015896335146,0.20917573840761144,0.0002708110417040623,0.08313437745581384
ARE,0.011210789009571844,0.05296629189066657,-0.06816792100246286,0.28891553602514364,0.00555213648315,0.2874390857713677,0.2667650333762961,2.8191509226895282e-05,0.06311978736888162
