,return,std,skew,kurt,alpha,beta,RSQ,p_value,std_err
AAL,0.03185514598266272,0.1460627484966992,0.43953198928708687,1.1033428913596177,0.007752199502140877,0.044382513382397445,0.030611107325665746,0.18897729011394232,0.03337546912033975
AAN,0.008681058527884776,0.09238462371863267,0.12335610802318145,3.1629146779295674,0.007130563142518457,0.21060700904636362,0.2737750008288795,2.5070575398293366e-05,0.045837139770016196
AAPL,0.023668139799087162,0.06955161687765796,-0.27009649765726806,0.02917299759644809,0.004293286395493835,0.2185865652044471,0.16593368516704318,0.0015055336186473275,0.06548811108611596
AAWW,-0.0026580458943264787,0.1276275263326293,-0.32392538887068156,0.7559614061712101,0.009584853676754733,0.13612641181438118,0.2204255329477803,0.0002008586567228991,0.034209461428671345
ABC,0.022588560368372094,0.051943811111473004,-0.36820025903803416,-0.4425077876498271,0.0019049293503131367,0.33763117365001943,0.2201427882961979,0.00020302262894625784,0.0849187983061306
ABG,0.030127081618633707,0.09495197928210485,-0.4487491669474829,0.018664724841605196,0.0018390735664042986,0.2486461544831779,0.4064456983207355,7.378343156203457e-08,0.04015287955383012
ABM,0.008618274830911795,0.05862057609800366,-0.08875613336682389,-0.9543943647241466,0.0063833734849226284,0.3772761400069368,0.34939690803714896,1.032996331376681e-06,0.06879610637267708
ABT,0.014755998706050459,0.04185389618612733,-0.3851963919386865,-0.25012694255628354,0.002722889613250668,0.4652134188822456,0.270698314678379,2.8364109004836893e-05,0.1020396716377069
ACCO,-0.00011099766297707876,0.1432891063049384,-0.25341541852574234,0.36920070326138976,0.00911644282588857,0.16084367726685678,0.38739218162292055,1.8272330781324103e-07,0.027028741320940956
ACGL,0.01431932989316763,0.03858165266714049,-0.4475527668069518,0.3978573936855323,0.002804282416800272,0.45053355070320183,0.22056505873745702,0.00019979909404670116,0.11317609443319718
ACHC,0.042603804205468165,0.1025944236822598,-0.028823986751365663,-0.014826693737501895,0.00674459405472057,0.05899212295263276,0.026648116287844848,0.2208060767763614,0.04764328422450628
ACIW,0.01798372774186771,0.07175672315649538,0.30207511109693946,0.9267803739561185,0.004473968060548535,0.2776915311013719,0.28708376526737645,1.4621778424385859e-05,0.05847679437156873
ACM,0.0009807303077242094,0.0969479726185116,-0.722951557279386,0.9653504441533314,0.00974289537020797,0.2820265983466651,0.5176588547750083,1.9773349743237948e-10,0.036379052802889236
ACN,0.014811805485584192,0.06072243396154697,-0.42093387796998477,0.47523957414113704,0.002928933882085678,0.45251821086324934,0.543718330785726,4.0800567279047675e-11,0.055395128128061
ADBE,0.013641506482429759,0.07132227945747736,-0.14081496781152603,0.32431776141453783,0.005090894938198826,0.34894855848368656,0.4345906712867792,1.83554765551558e-08,0.053187390098459304
ADM,0.010310133984742944,0.06999825604439207,-0.3739159993068048,-0.3880716622413152,0.006668935819634062,0.25320226805201235,0.22919723080238355,0.00014382904093584247,0.06204982030142317
AEE,0.012433505806266305,0.04357963008377254,-0.12759215445209968,-0.3528145809234138,0.005534615410134069,0.26670755335236057,0.09312927729865333,0.01983860136308646,0.11121692320330466
AEGN,-0.006541149153992178,0.11085780017496936,-0.4656397684336668,0.5986147345996224,0.01139314550433523,0.229439389517758,0.45234917542508235,7.372684774287962e-09,0.03373563866444501
AEO,-0.001099680432920479,0.1002582164003541,-0.44654975681487724,1.179398587508829,0.009544704301867563,0.15091054073648197,0.16593847931292632,0.001505272890326888,0.04521172232081115
AES,0.003450627974951769,0.0657664444726606,-0.1550202192988627,-0.594896900329676,0.00827682056675336,0.39769335734702693,0.49124048536573306,9.019127239554209e-10,0.05408334193305622
AFG,0.0156973357839935,0.038319596958993556,0.44085343821525863,1.116118631180762,-0.0019435281653793768,0.7701234782082885,0.5982379725014686,1.1058682076732777e-12,0.08433615667371175
AGCO,0.005810108042898954,0.09377641870103563,0.26459445230310313,0.4089718680265162,0.008091602131592105,0.31604712415773384,0.6192328613704065,2.420765762478342e-13,0.03311773005539284
AGEN,0.001901465662354124,0.19282842942172307,1.1295518507004139,2.9678207652187725,0.009056565884453754,0.06389848646909485,0.11083239566817536,0.010664412428320868,0.024185496823740348
AGO,0.004663799310641274,0.12110548641178956,-0.19565306049365877,-0.04591144314462392,0.008513466912188416,0.20938372412350656,0.46618786218976477,3.5506089451741316e-09,0.02994074812299652
AHT,0.018864307217329495,0.10499142828668645,-0.20543167748312088,0.492510795880885,0.005070045639083899,0.2180950201951011,0.38289026021958933,2.2551041103906142e-07,0.03699949331810784
AIG,0.011578517184720508,0.09946663962597013,-0.4368536832252477,3.0450797616287906,0.007043169203681532,0.22472810378300226,0.3567031713058291,7.458589662457963e-07,0.04032882731781345
AIMC,0.012270379926539109,0.10953028171701931,-0.9211757802173431,1.6044342991079281,0.0065495395607150795,0.23452710385503817,0.4798501916199698,1.6950026108925424e-09,0.03262949949452518
AINV,0.0005552841145288132,0.07494559797619196,-0.05232494145897871,0.4586130124793195,0.00952897891676793,0.32460794747056604,0.42144924940428286,3.542788989517453e-08,0.05082334244117501
AIT,0.011338062263356683,0.07170404247221547,0.5419120372550328,0.6148650999469454,0.005633848163100976,0.352259281590272,0.45836980128367305,5.376857923567243e-09,0.05116958186739383
AIZ,0.011313128512432739,0.05749913148835212,-0.7647556751123546,1.2135518044522922,0.004560609474694749,0.3833015140854291,0.35054282531185543,9.817751052885717e-07,0.06971901446619323
ALB,0.005989896489608992,0.0943795685225026,-0.164268192746933,1.9274415473642739,0.008311758070462945,0.26752185487556424,0.44413759892278803,1.1279881943084365e-08,0.03999356630974205
ALGN,0.018423683373780482,0.10984182950240397,0.11352779195176808,3.0595087957711584,0.005396819174561125,0.21912192145246048,0.42089172699534205,3.641867423567094e-08,0.034346817614579646
ALGT,0.020958592769771398,0.08315328343534932,-0.8017944467605436,0.8657225236701378,0.008077282933164717,0.05364173344557424,0.014527724538630257,0.3674574334865708,0.059038076207494676
ALK,0.03142292847183367,0.0815147716072736,0.021837528687202727,-0.4773850369308579,0.002970724437126224,0.18863016785612294,0.1684965031841558,0.001372280083791173,0.05599557794820035
ALNY,0.030270595919442183,0.16357781934758123,0.19804070504405374,0.4303039088505036,0.0066508041155416125,0.08691716270838866,0.14739818190085657,0.0029283293325078883,0.02793435135057477
ALXN,0.03207364302813673,0.07815183567657953,-0.4523760204987341,1.7849976321843615,0.004219616139976816,0.15165873268650268,0.10191831698109795,0.014578915065524027,0.0601596369522441
AMAG,0.005825929961444014,0.13209377231173555,0.2111485428235564,1.082014896359209,0.009154980940381998,0.013293624104716233,0.0022283061451735253,0.7249339274973445,0.037590451443755085
AMED,-0.010245375812002664,0.14431039468497395,-0.89004682233162,2.0487317868466395,0.010044627644709793,0.07204541584666665,0.07853339895355806,0.03311665531705122,0.0329780476463314
AMG,0.01708089971200846,0.07460319144890265,-0.4662265049140808,0.7804768068465018,0.0020444556955420854,0.4346261485174716,0.7649101361025825,2.994875003403564e-19,0.03219834742154546
AMGN,0.017560835851831838,0.05284204838027669,-0.05907066369540502,0.057932621719759325,0.004337624052861873,0.2822982811341303,0.16219153409895218,0.0017231465131905834,0.08573783282441914
AMKR,0.0053888127494705245,0.13435455500138652,0.4968461546400636,0.4374625425275722,0.009555553368124525,0.18470616983044638,0.3721640753838575,3.7015446448912665e-07,0.0320585035271785
AMP,0.01998499852910519,0.07005782029151779,-0.6915140849121526,0.6161422303361466,0.0001394891734284691,0.47310419820461347,0.7958887787768373,5.621516464711645e-21,0.032016218715519074
AMX,-0.0015103150221365239,0.06692700112875213,-0.18429242581199623,0.16250307738297876,0.009659334372035921,0.29465890867524347,0.284017505495879,1.6568572623677995e-05,0.06251787534602497
AMZN,0.01745135453027839,0.07781713740393592,0.05105114757301554,-0.3825918972136373,0.005667385607900437,0.2140108463900812,0.20094004509513944,0.00041747268972243824,0.05702932175931372
AN,0.02074967498421313,0.07900998014405516,0.028889618882189265,0.8325185044653263,0.004817416521286116,0.21347271209979798,0.20769418577144846,0.0003244625715049344,0.05571634336551656
ANDE,0.012589392483959384,0.09686254974841806,-0.3155127776040547,0.03134775407659163,0.007010218600981635,0.16809335677759918,0.19331166269852335,0.0005539164341364968,0.045886020780578296
ANF,-0.008942815962945895,0.1407314330874269,-0.5321005696164166,2.015689434411027,0.010427769144799677,0.14234840145942193,0.2929575083052635,1.1493129437297586e-05,0.02955146541241635
ANGO,0.002959482443090031,0.08283096214467597,0.3820259783494909,-0.08514580259727556,0.008563080038338942,0.17928831889216149,0.16048941441434458,0.0018320549605115174,0.05479587592852865
ANSS,0.011667617918806673,0.06437147832829043,-0.2731741111555326,-0.5355765376767687,0.005443576536338883,0.3495676306399779,0.36556301311806905,5.001890029740413e-07,0.06153898376720597
APD,0.015128830908864686,0.05734512895290938,0.3728350801264683,0.38788222641767645,0.0019446750867349854,0.5120826607887208,0.6197177671121084,2.335048481382e-13,0.053604605132996946
APOG,0.019639117123949668,0.10117407772816044,-0.2450387262697529,-0.08666329012922391,0.005263467178223203,0.2079316261427025,0.32238873912849464,3.3467193119653405e-06,0.04028347357772077
ARC,-0.0009921451020303606,0.16883443873139442,-0.37241257031425234,1.50663776588196,0.009166016599736307,0.11307903115841325,0.26515209528395167,3.539263245485875e-05,0.025155865486218693
ARCB,0.006239204765586963,0.15096081194476738,0.34766758384101687,3.231399127599709,0.008734069518377892,0.10964862369691256,0.19821130106627483,0.0004620172671264304,0.029469646781906358
ARCC,0.01047418112909966,0.05502720034145159,-0.2500324632504385,0.6610291691301073,0.0049032905689261625,0.4308093848094965,0.4085814459149015,6.653847346557419e-08,0.06926268035415065
ARGO,0.011547527557106077,0.0546739058512559,-0.048606986897562085,-0.08327696599033985,0.005267896613262567,0.328348484625571,0.2343984154211333,0.00011782052829906998,0.07929851945602669
AROC,0.005257854514778879,0.5194766199485812,-0.4116105025416101,6.536256037501223,0.009202406311900032,0.00295047534150362,0.001712199001403129,0.7577756242366857,0.00952025844398581
ARR,-0.014177291089676585,0.059099594405657194,-0.8794875583665623,1.9884059777230974,0.011833460882889175,0.19080155709262545,0.09258207367246096,0.020222820867952844,0.07982301479410286
ARW,0.012219791109888729,0.08583129360185038,-0.33583254329503387,0.9565199829457969,0.005594538533110257,0.34792659307313467,0.6337954757072533,8.034689170176714e-14,0.03534116782316997
ASB,0.006245095984981093,0.31683975955813104,-0.3796368839211476,10.828508941404014,0.009103872933847379,0.02300013623548163,0.03871946994519352,0.13874769484212934,0.015314286454784616
ASGN,0.028453999780136036,0.13123709757470278,0.05699855827668296,0.7338970972150336,0.0037838315182636114,0.19731082839775044,0.48814792220288783,1.071866431780088e-09,0.02699935686322687
ASH,0.017067836339466288,0.07089532759816265,-0.34620667805018684,0.3271006468932658,0.003756955537004247,0.338917341032101,0.41686191121334787,4.4420577104113636e-08,0.053566019354436105
ASNA,0.0004226305537289526,0.09390276563727588,-0.2504040355344354,-0.059184229581477954,0.009710779793728596,0.23705311306160856,0.3462574584240994,1.1869345598312512e-06,0.04352667118079607
ASPS,-0.0018025946584266633,0.1583114946331802,-1.0506336640883827,1.4623070702405698,0.009285839010762749,0.04481864298224639,0.03676540856487992,0.14933035136569148,0.030655685101382724
ASRT,0.03087829803774134,0.13787453335138522,0.006386712934242649,0.3726983540276412,0.006659690572845003,0.0902516800513498,0.11064904448887605,0.010733271808547116,0.03419196306302715
AT,-0.016867197390598592,0.14401553336750528,-2.484763728813148,8.515780367866116,0.01007791560989411,0.04643493891081753,0.03234349341006448,0.17673660048061346,0.03394048254577295
ATRO,0.04566349805335264,0.11009911317161239,0.360078263743917,0.39229292871805566,0.00651006434237537,0.06333097625817492,0.03390180026383883,0.16648519526868896,0.045177419975241294
AVA,0.012075607264596736,0.050229520150381055,-0.4050693743225868,0.2271192728088436,0.0043699502417599186,0.3518923331053099,0.21317568297075074,0.000264124813253826,0.09034119821276308
AVEO,-0.03345900044105102,0.18504283872238536,-0.38714929272030674,2.259098206980819,0.010643911415994812,0.03701297054943861,0.03259417000906097,0.17504069162519473,0.026946000597232057
AVT,0.007542317428266111,0.07575066215320814,-0.2950477338307991,-0.1548047121492604,0.007011755867010375,0.36508089630622487,0.545207834935671,3.718314042793852e-11,0.04455747145998953
AVY,0.008956780719058262,0.07035349470547647,-0.5760481487621636,0.3771747352788797,0.00612365406219123,0.35487976170881724,0.4548639281805987,6.4645486137733e-09,0.05191572589153671
AXE,0.011957020071523656,0.08406939120564111,-0.3008013079252358,0.6239656809563838,0.005378207612692025,0.3368062621602992,0.5838572787171874,2.9946819804291368e-12,0.03799740572699344
AXL,0.015509960212363089,0.10747944574841692,0.0696786510465297,0.20677445335879696,0.005623739367117253,0.23313630584249403,0.4584979045834365,5.3406687360254e-09,0.033856907752741625
AXP,0.01273888584289467,0.05915448246527777,-0.5714787235182834,0.45314907727095344,0.0034992113564707786,0.4490025825296098,0.5151983248977595,2.2852043504510577e-10,0.05820357490759295
AXS,0.01081889550214054,0.05130344690291656,0.6641962774486596,2.0858610926134435,0.004648946481656786,0.4264429015803459,0.3494348709227399,1.031258744561609e-06,0.07775514679811273
AZO,0.02223449580504558,0.04252738324068333,-0.48288741855352846,-0.36730299210353357,0.003859844830757862,0.2505992680693517,0.0808086729818378,0.030569616994366496,0.11294311361493888
AZPN,0.02247414459924202,0.0669773648979715,-0.2874216557739345,-0.6739648075694773,0.0044651806134335505,0.22224351605648998,0.15910270535961824,0.0019257458971210274,0.06827595464661947
BA,0.014234860543267459,0.05956083593422408,-0.37145468130481174,-0.41624908567715124,0.003644097575285178,0.40202243739265286,0.41765017255239434,4.273224117576226e-08,0.06343689559027346
BAC,-0.0016702849544628637,0.1056551350332236,-0.21127324226789412,0.09329118039333428,0.009717312750297415,0.2088093861418542,0.3543597748138576,8.282914926729483e-07,0.03766422926697654
BAX,0.0070365514567036274,0.05712831267769898,-0.6185919354313983,1.739388664058377,0.006787850491392051,0.3252193079394852,0.25133367394363887,6.106687937786831e-05,0.07500688292150448
BB,-0.03259640595992179,0.173839346521289,-0.19896495273839432,-0.12444051684415003,0.011455147535012365,0.06559104921343335,0.09444543469873926,0.018944156348885424,0.027140471726140196
BBSI,0.018678073766009256,0.144401948948399,-1.0463262631195323,2.5317866487122664,0.007985544057258894,0.07823813606331578,0.09077744257892356,0.021543643127974764,0.03308800715686708
BBY,0.0002224645306156843,0.13401057915284043,-0.5843854808902534,3.0431478224982236,0.009373581273472188,0.14453085877999242,0.27230334275275847,2.659678736835811e-05,0.03157295810443378
BC,0.021072998004222323,0.12808759972642442,-0.5676424991807562,0.9534987629259017,0.004489526256935215,0.22003240665641846,0.5797912369943924,3.94477004423405e-12,0.025031643465985298
BCO,0.0011621617726522125,0.09513963628996021,0.14520612541290784,-0.5956189909833851,0.009975384658743805,0.27935255494635675,0.4645721952788662,3.870391257479729e-09,0.04007582648459761
BCOR,0.00497537549241472,0.10643069485362594,-0.21831635022532678,0.25020369094221184,0.008803153057307618,0.11668334885116259,0.11131580227449177,0.010484961026141307,0.04405652005719238
BDN,0.008730862870485304,0.06817581788300944,-0.945113397498517,1.2033223331178675,0.005446902465955136,0.3949179882803777,0.525142853922755,1.2676461062475884e-10,0.05018288920360076
BDX,0.012333841361835178,0.0458803468342449,-0.013090391013118376,-0.08961942289010505,0.002311851847685985,0.5997492674515562,0.5421909560832058,4.486197760159585e-11,0.07364474487870093
BECN,0.007637391557139969,0.09195106059642791,-0.19947823742664803,-0.16023444080414562,0.008260307741685617,0.2573708919351578,0.36445295544950956,5.26014245780699e-07,0.0454170087810058
BG,0.006037506129854938,0.05815900198659564,-0.20660555688958515,0.27320570003124134,0.006442765107120971,0.35912870429033455,0.30318659026540173,7.5249324651542854e-06,0.07275441627167292
BGCP,0.014026294797627833,0.10762780396931843,-0.21661037395822078,0.3894053216386997,0.006955372798874546,0.1923804113326071,0.30457185888791266,7.102470173882318e-06,0.03884615859543567
BGFV,-0.0006168378799668145,0.1488722569895412,0.18377864473908265,0.02502430889992624,0.00942922009144109,0.11948197595896747,0.2301418354840026,0.00013872320825089574,0.02920222591610553
BGG,0.0030936301563591136,0.0855560045504453,-0.2914828684484228,-0.41542786100092277,0.008920015408709937,0.2863093119081333,0.4228610091398157,3.303416532105481e-08,0.04469746023148206
BHC,0.04274013599498297,0.09445239987431416,-0.20906662996604572,0.5519944036451205,0.003250079157759299,0.14955231382695072,0.13764248563700057,0.00414315800464414,0.05002263279487853
BHE,0.002088690894323756,0.0772979841509035,0.060661331602786535,1.0469449898005427,0.00834458778827137,0.3223638279163549,0.45188122340581294,7.554764532433396e-09,0.047443583274523984
BHLB,0.008802483354951025,0.06086358788253079,-0.594719828506615,0.3303943771424098,0.006575879849813679,0.3391547521972487,0.30583596998668877,6.737085500136526e-06,0.06827955231662391
BIDU,0.02080613082955121,0.11374868534455194,0.12143610889734474,0.7602849714426241,0.004970945209178791,0.18984281521104532,0.336976042917024,1.7833577555447795e-06,0.035584859010941154
BIG,0.004774009106074197,0.10279908805475776,-0.43495087009546063,0.9182311538217678,0.008680728409154567,0.12598357066518284,0.12226238226755806,0.007135171588472515,0.04510823439949915
BIIB,0.033309942185417045,0.08276125731653476,0.5364984680007461,0.21913529198491988,0.002470432506666337,0.20418643825867475,0.20838109102427976,0.00031622261373868006,0.05318164981338931
BIO,0.0034887899985418676,0.05872177042886549,-0.4644104871284617,0.06715533305950983,0.008320854446713776,0.512322297936557,0.6261407107468684,1.4422315391906051e-13,0.052901423905362586
BK,0.005630739106208719,0.07074385199603686,-0.5252091258741146,-0.10024633445082687,0.007544355350975873,0.3958398285841621,0.5589757659828514,1.553937591506811e-11,0.04698510629202031
BKD,0.009969716402302252,0.11112957632496141,-0.06526384702538589,0.6894280167720126,0.007104174667790175,0.2529712086764942,0.5696734374723423,7.74378839144164e-12,0.029380770076634127
BKH,0.011906570332598346,0.0576777442747471,-0.6647089894749075,0.9228838758113325,0.005146095355021251,0.34190737167577984,0.28401042976897584,1.65733434041596e-05,0.07254385902453467
BKNG,0.026772352063637535,0.10552144885714917,-0.42368731210901306,0.9644235781952326,0.004191365734652936,0.21151072025926762,0.3458649922132541,1.2076740226582787e-06,0.03887037798599258
BLDR,0.011005840040822732,0.1585392441527088,-0.38305572843899927,-0.1578656664382736,0.007750431413831443,0.13408299001266524,0.32999654803485534,2.41387994428493e-06,0.025530745369558152
BOKF,0.004202762361312143,0.04973917994640579,-0.00990140926751101,0.06322434891476192,0.007882333041599637,0.47661642989142344,0.3907159311301167,1.5628927163016862e-07,0.07953427878637365
BPFH,0.010103415815834781,0.07685223238047732,0.25708654174631984,1.521445985313016,0.006712484065998199,0.3118799888801545,0.40109979639084087,9.542147829574782e-08,0.05092657932858373
BPOP,0.0028900144000370844,0.12070742807454277,-0.19152022548717476,0.3534269848922018,0.00899117700215629,0.21877483925394378,0.5018926462961986,4.937383186699981e-10,0.029124563178993427
BRKS,0.007236376201872749,0.1010990088799163,0.3035676485075698,0.11537613273636227,0.0072161881174117575,0.23114786535149578,0.394405268352146,1.312778841369249e-07,0.03827503213783565
