,return,std,skew,kurt,alpha,beta,RSQ,p_value,std_err
AAN,0.010174835738694531,0.10752811765824202,-1.0615838585855515,2.32876608201187,0.006339953475636105,0.038010869614432244,0.015743765690713854,0.3436829199696424,0.03980798142310993
AAP,0.004315749053579939,0.08532668044176696,0.08631610790605296,0.15872453198449765,0.006179117579004579,0.1268818563000273,0.11046321215476904,0.010115718432379501,0.04769086711022078
AAWW,0.007137709782936138,0.1028026120968815,-0.16785757148481537,-0.17576199039207951,0.005374685417400386,0.1894196393470259,0.35736106213028807,5.757351882381742e-07,0.033644763550698654
ABC,0.005292208255677549,0.07369717577268417,-0.5003269443002284,-0.34468671588712096,0.005571206034091846,0.21834019757563475,0.24401583394922935,7.007232398093137e-05,0.05090302792019084
ABM,0.005371099754323067,0.05456912850018261,-0.6611891768793973,0.5081642026987141,0.005735004293127107,0.18463696123360646,0.09567098462095716,0.017135928415897672,0.07518900313502938
ABR,0.01765809937644124,0.05233261711326428,0.0968913714954966,1.428425468113737,0.0032855247786666543,0.19487845085821232,0.09802152735571196,0.01575984534172262,0.07830035739419296
ACAD,0.0014480437175049222,0.17863508952135426,-0.21082792000066727,0.9892382855689896,0.0065682177638656195,0.1094511612227822,0.3602659448074022,5.041213634002768e-07,0.019318396492985435
ACCO,0.007345405770942542,0.10620460133271122,-0.4065160817061709,1.0488837837702807,0.005465008475882346,0.1717671417631764,0.31362867556016416,3.989810644824079e-06,0.03365691799891364
ACM,-0.0006498011047513625,0.08120180359663494,0.37713959481445786,1.2718410983182213,0.006901287542782734,0.268666383079861,0.448545938479458,6.615695893690293e-09,0.03945727660993379
ACN,0.01391212724109725,0.04961454559855657,-0.5937737112378203,1.2796032938777095,1.499971215869391e-05,0.48243579157775457,0.5399406152062411,3.4677943191042776e-11,0.05898424722003344
ACOR,-0.016011017868998337,0.1475242900718402,0.00481718717977468,-0.04000703263319183,0.00793133293025785,0.07523725910908151,0.11610259278319915,0.008271101674423726,0.027496379217329822
ADBE,0.02346683976763189,0.05681260409954456,0.020636974772426445,-0.27694784833726827,-0.0013797202216370916,0.3454418290726253,0.36298456802577944,4.449652114923204e-07,0.060613364670258144
ADSK,0.02031058426992934,0.09500547867687595,-0.28676168793834245,0.38639170805547884,0.002091984006845,0.22819254049056523,0.44294429023401805,8.875853072824782e-09,0.03389524494722299
AEE,0.012282435323601352,0.043495088283854746,-0.12131210997248738,-0.5984557470120979,0.0048830959968695605,0.15010148922467595,0.0401697709711222,0.1279998604430398,0.09718407541075771
AEG,-0.00454077827856771,0.08014515230349166,-0.6173255743187589,0.487289477259341,0.007590551201282391,0.19024125778433368,0.21908510617521593,0.00018526482097825134,0.04757323740038409
AEGN,-0.006390352695952665,0.09400751273301546,0.08789888681029241,1.1238314661610769,0.008024808713746206,0.2031344661649851,0.34366972760745496,1.0688497482926254e-06,0.0371823442939126
AEP,0.010902752106587754,0.04573588154440808,-0.2834836493678132,-0.4604391618314976,0.006312578097679041,0.03798396299578507,0.002844222562006868,0.6882978937478277,0.09420252910682236
AGCO,0.0042031051331196684,0.0625606111466271,-0.03871121175018844,-0.41591160267566174,0.0057364709676962266,0.2355965009651515,0.20473333339522065,0.000320676589074572,0.061502606153195825
AGN,-0.006284352684399733,0.08385280184978049,-0.41751783052998825,-0.6319614273942622,0.007986660936143673,0.200490514961627,0.266361676690438,2.8656246920869722e-05,0.04407187608777614
AGO,0.009862650716605045,0.06341620915783491,-0.3940068742526393,0.44127074796348476,0.00424651439332855,0.25147331160613967,0.23968081739364835,8.313226139992181e-05,0.05932473520768481
AHT,-0.005598033439161365,0.10591452370807583,-0.17348544497913687,-0.13721602832690483,0.0076927606236775106,0.17257002908763366,0.31484057708041896,3.787203119084833e-06,0.033719289269069856
AIN,0.014512666168225951,0.07569011028519206,0.35485098420171307,1.5727898123465716,0.0021396231788184455,0.31607456536638395,0.5393942281479107,3.588818277134401e-11,0.03868687604917423
AINV,0.0011361085280052188,0.22419267404281165,-0.2915241097277912,19.71291556786025,0.00668634489882856,0.03552735537528097,0.059788480270780424,0.06198191039412554,0.01866076652063872
AIZ,0.009528379432607889,0.05958241588237618,-0.6192306112007739,-0.1998174375748154,0.00491952620442418,0.18966306270709538,0.12035126397412889,0.0071054726141107005,0.0679163980651127
AKAM,0.0030435452873357263,0.08628035793685572,0.1501453924592072,1.3956016712257426,0.006457485630727933,0.08845677461748155,0.05489527887841976,0.0740799607409753,0.04861453547859766
AKG,-0.01862054677755659,0.18271714677486478,-0.44539662570930433,1.5805276175918301,0.007055107262236311,0.017636401117084526,0.009786501460624878,0.4560034325973832,0.023497584953209538
AKR,0.004222722773776305,0.062417724414866385,0.20639933182206935,1.801730296937822,0.0058329812460249115,0.21164699462942319,0.16447087186097464,0.0014397044606093388,0.06318456183931662
ALB,0.006764141058679323,0.08746442388084993,-0.39616273435539895,0.5681622800281145,0.005136536417991608,0.2350884463321284,0.39845049554358275,8.33001403177452e-08,0.03825977035908688
ALGN,0.027279917482637233,0.11429116361497205,-2.0881461284055223,11.418148708608774,0.002085586122184121,0.17012960948352163,0.35631494544459164,6.038629415246433e-07,0.030287412367078635
ALKS,-0.004772489814244397,0.15426746137881645,-3.481941730355924,18.135969542572013,0.007175760190258336,0.09409184251586378,0.1985644658058322,0.00040502960281843634,0.025037910142662906
ALL,0.01016367423410993,0.045396238321510296,-1.0559504587745714,2.5280236161848366,0.0026085187335779976,0.4051870417933102,0.3188597860075562,3.184170416824383e-06,0.07843980503890814
ALSN,0.010025859958766165,0.06415330834953567,-0.06777270634434263,0.1269302568831261,0.003158427299271227,0.35590767731168194,0.491316950777459,6.350982781831503e-10,0.047967014388254715
ALXN,-0.001983376219529278,0.10722016183127615,-0.6343120363149771,0.6363231991585625,0.007037226222134462,0.156560509715232,0.26556221966551835,2.9599452449503884e-05,0.0344857089420667
AMAG,-0.004440721515930401,0.1728577167781354,-0.426300186178267,0.32547048099449816,0.006820639012441352,0.021152234351219813,0.012599083769847913,0.3973255669010295,0.02480253680923722
AMC,-0.00502292394456175,0.12109544842662157,-1.017501881868327,2.0477090991663127,0.0070461866338833706,0.0636041491293886,0.055908192769268054,0.07138793303335327,0.03461923021766172
AMD,0.02999127005963171,0.1737561818833919,-0.3543738616315165,0.2660798885372291,0.0032529572613629806,0.11582539058792914,0.3817130400339531,1.8574856895297962e-07,0.019525083096108436
AME,0.007948280781786138,0.05536097075848676,-0.741812546345493,0.5716665871740623,0.0034756573767960736,0.40902561732617077,0.48323383092519073,1.003103509115832e-09,0.05602494673594548
